id,meldungsNummern,bezirk,betreff,erstellungsDatum,status,sachverhalt
3474967,['895c75'],Tempelhof-Schöneberg,Abfall - aus Gewerbebetrieben,19.04.2022 - 11:26:44,Erledigt,Hier hat jemand einen Eimer Farbe entleert
3474997,['ftdbsx'],Tempelhof-Schöneberg,Sondernutzung - Schankvorgärten (Tische und Stühle),19.04.2022 - 13:30:55,Erledigt,"Vor dem Bekleidungsgeschäft der Fa. Boxer, auf dem Gehweg stehen Tisch, Bänke und Werbeaufsteller. Platziert auf einem Teppich. "
3475728,['4sxxxd'],Tempelhof-Schöneberg,Straßenaufsicht - Straßen- und Gehwegschäden,20.04.2022 - 04:00:16,Erledigt,diverse Schlaglöcher im Fahrbahnbereich
3475750,['doky69'],Tempelhof-Schöneberg,Grünanlage/Park - Sonstiges,20.04.2022 - 04:04:47,Erledigt,"diverse herunterhängende abgebrochene Äste, sowie Vermüllung."
3479272,"['3w8ht', 'ghadxd', 'tgdm9t']",Neukölln,Sperrmüll abgelagert,20.04.2022 - 13:04:40,In Bearbeitung,Defekter Rollcolli? 
3477479,['lbl0qp'],Tempelhof-Schöneberg,Gewerbe/Gaststätten - Beschwerden,20.04.2022 - 18:00:50,Erledigt,"Mehr Stühle und Tische als nach Aushang zugelassen, rd. 25 - 30 Personen, hohe Lautstärke, Gespräche selbst bei geschlossenen Fenstern wahrnehmbar. Zudem Behinderung von Fußgängern, da Bestuhlung in den Gehweg ragt. "
3477482,['9e2ha9'],Tempelhof-Schöneberg,Bauaufsicht - Sonstiges,20.04.2022 - 18:15:56,Erledigt,"Seit Jahren steht das Gerüst, ohne das Bautätigkeit erfolgt, dazu die Tische des China-Restaurants und angeschlossene Fahrräder/Gehilfen, - der Gehweg ist kaum noch begehbar..."
3478399,['3t1ngh'],Friedrichshain-Kreuzberg,Gewerbe/Gaststätten - Beschwerden,20.04.2022 - 22:07:20,In Bearbeitung,"
Auf der Terrasse sind sie so laut das gar nicht normal ist bis 2 Uhr morgens auch in der Woche. 

Bitte unternehmen Sie was

"
3480094,['n2hc75'],Tempelhof-Schöneberg,Gewerbe/Gaststätten - Beschwerden,21.04.2022 - 10:42:14,Erledigt,"In der Zietenstr. vor dem Lokal Boccacelli nehmen die Tische und Stühle fast den Gehweg ein. Als Rollstuhlfahrer hat man große Schwierigkeiten durch zu kommen. 2 Menschen können auch nicht nebeneinader durchgehen. Kindewagen kommen schlecht an den Tischen vorbei.. Wenn dort Leute sitzen, muß man auf die Fahrbahn ausweichen!"
3478978,['i71ywx'],Friedrichshain-Kreuzberg,Abfall - Privatfläche,21.04.2022 - 13:02:08,Erledigt,Reifen deponiert 
3480609,['a6mozl'],Tempelhof-Schöneberg,Bauaufsicht - Sonstiges,21.04.2022 - 15:35:56,Erledigt,Wird immer weiter ausgebaut die Imbissbude 
3480569,['ougzk1'],Tempelhof-Schöneberg,Baustellen - Sonstiges,21.04.2022 - 19:44:47,Erledigt,"Guten Tag, es wurden dort vor 2 Jahren die Dächer ausgebaut dazu wurde eine Einfahrt für die Baustelle geschaffen. Seit etwa 6 Monate wird dort nicht mehr gebaut aber der Beschädigte Gehweg wird nicht mehr hergestellt. Da wir hier einige Rollator Fahrer haben ist das ein Problem. "
3481200,['to0xkx'],Tempelhof-Schöneberg,Straßenaufsicht - Sonstiges,22.04.2022 - 08:49:18,Erledigt,Auf dem Mittelstreifen parken Dutzende Transporter der Fa. Robben & Wintjes. Es sind alles zu mietende/vermietende Transporter. Das Strassenbild wird so total verunstaltet.
3481207,['qm5edd'],Tempelhof-Schöneberg,Sondernutzung - Schankvorgärten (Tische und Stühle),22.04.2022 - 09:20:59,Erledigt,"Die Tische und Stühle werden so weiträumig ausgestellt, dass man als Fußgänger kaum in die Niedstr. einbiegen kann, mit einem Kinderwagen muss man teilweise auf die Straße ausweichen, insbesondere am Samstag zu Marktzeiten."
3486900,['rfq4u9'],Tempelhof-Schöneberg,Abfall - Schrottfahrräder,22.04.2022 - 20:54:24,In Bearbeitung,"Bitte die schon vor Monaten von Ihnen gekennzeichneten zwei Fahrräder nun endlich entfernen.
Vielen Dank"
3487574,['97lb0h'],Tempelhof-Schöneberg,Gewerbe/Gaststätten - Beschwerden,23.04.2022 - 10:42:23,Erledigt,"2 neue Tische direkt neben Hauseingang. Es ist so schon kaum Platz auf dem Gehweg, Das jetzt zwei neue Tische direkt neben unserem Hauseingang platziert worden ist nicht zumutbar. Vor allem wenn man mit dem Fahrrad ins Haus möchte"
3487922,['tftybl'],Tempelhof-Schöneberg,Abfall - Müllablagerung,24.04.2022 - 08:18:35,Erledigt,"An zwei Stellen sind Müll und Schlafplätze entstanden, unter den Yorckbrücken und vor dem S Bhf . Durch die Lagerung von Lebensmittel sind bereits Ratten zu sehen. "
3488081,['jb8rup'],Tempelhof-Schöneberg,Abfall - Müllablagerung,24.04.2022 - 10:35:19,Erledigt,Müll auf benutzungspflichtigem Radweg
3488298,['2qf18h'],Tempelhof-Schöneberg,Abfall - Schrottfahrräder,24.04.2022 - 12:52:58,In Bearbeitung,Schrottrad
3488377,['bzshdt'],Tempelhof-Schöneberg,Abfall - Schrottfahrräder,24.04.2022 - 14:04:52,In Bearbeitung,Schrottrad (Wdh. von Meldung von 12:54 wegen falscher Straßennennung)
3488462,['1dq0ht'],Tempelhof-Schöneberg,Abfall - Müllablagerung,24.04.2022 - 16:30:10,Erledigt,"Am angegebenen Ort wurde in der Nacht vom 23. zum 24.4. auf dem Gehweg schräg unter meinem Wohnzimmerfenster ein Teppich abgelagert.
Vielleicht können Sie bei der Gelegenheit auch die Abholung der dort abgestellten nicht mehr benötigten Baustellenabsperrungen veranlassen.
Vielen Dank!"
3489554,['z3tjb5'],Tempelhof-Schöneberg,Straßenaufsicht - Defekte Straßenbeleuchtung,24.04.2022 - 18:19:36,Erledigt,"Sehr geehrte Damen und Herren, am 31.Juli 2020 verunglückte ein PKW in der Kurve zur Goebenstraße und beschädigte einen Laternenmast, so dass dieser abgetrennt werden musste. Nach sage und schreibe NEUN Monaten schaut der Laternenstumpf immer noch aus dem Boden! Wann wird hier endlich einmal repariert??? Die Fotos Zeigen den Unfalltag und den aktuellen Zustand vom heutigen Tage."
3489995,['vda96p'],Tempelhof-Schöneberg,Abfall - Sonstiges,25.04.2022 - 12:16:37,Erledigt,"2. Meldung!
Diverse Müllsäcke mit diversen Abfällen und zwei Einkaufswagen
Der Ablageort wächst täglich."
3490110,['lso9hd'],Tempelhof-Schöneberg,Abfall - Müllablagerung,25.04.2022 - 12:42:49,Erledigt,Seit ca. 2 Wochen steht hier eine kleine Couch und ein Kühlschrank
3490586,['e4qha9'],Tempelhof-Schöneberg,"Straßenaufsicht - Verkehrszeichen (beschädigt, defekt, etc.)",25.04.2022 - 15:57:39,Erledigt,"Zusatzzeichen Wendebereich oder Endschild 286 fehlt. Bitte Weiterleitung an SV
"
3490715,['te45c1'],Tempelhof-Schöneberg,Anhänger Sonstiges,25.04.2022 - 16:04:48,Erledigt,"Am Lichtenrader Damm 98 befindet sich eine Baustelle. Für diese Baustelle wurde ein Parkverbot von 6 - 20 Uhr auf einer Länge von ca50m eingerichtet. Nun stehen außerhalb dieser Parkverbotszone 2 Bauwagen, welche nun noch mehr Parkfläche blockieren. Ist das rechtens so ?
Einer dieser Bauwagen hat kein Pol. Kennzeichen.
Vielleicht wäre eine Überprüfung durch die entsprechende Behörde möglich.
Vielen Dank !"
3491164,['ndhgch'],Tempelhof-Schöneberg,Abfall - Müllablagerung,25.04.2022 - 22:09:35,Erledigt,Dieses Sofa wurde vor ca 3 Wochen hier auf dem Gehweg abgestellt.
3491169,['u17pj5'],Tempelhof-Schöneberg,"Abfall - Bauabfälle, Bauschutt",25.04.2022 - 22:15:44,Erledigt,"abgestellte Farbeimer!
Fragen Sie doch mal in der 106! Da wird gerade entrümpelt und renoviert!?"
3495462,['rp1ukh'],Tempelhof-Schöneberg,Straßenaufsicht - Straßen- und Gehwegschäden,26.04.2022 - 15:30:35,Erledigt,Pflastersteine haben sich gelöst 
3496776,['2wb4zl'],Tempelhof-Schöneberg,Straßenaufsicht - Sonstiges,26.04.2022 - 16:51:06,Erledigt,Es gibt hier zwei radwegen. Das könntet mann effizienter organisieren
3495513,['qx9q81'],Tempelhof-Schöneberg,"Abfall - Bauabfälle, Bauschutt",26.04.2022 - 18:02:16,Erledigt,Ein sehr großer Haufen anbaumaterial ist am Straßenbahn Rand abgelegt worden Punkt daneben steht ein einkaufswagen.
3495647,['fpcnb5'],Tempelhof-Schöneberg,Grünanlage/Park - Beschädigung,27.04.2022 - 09:00:36,Erledigt,in der Parkanlage in Fahrtrichtung Paradestr. rechte Seite im Park Mülleiner wurde abgerissen  liegt auf dem Boden vor dem Bolzplatz siehe Foto 
3495980,['qrngg1'],Tempelhof-Schöneberg,Gewerbe/Gaststätten - Beschwerden,27.04.2022 - 12:24:14,Erledigt,"Wiederholte Meldung!: In der Zietenstr. vor dem Lokal Boccacelli nehmen die Tische und Stühle weiterhin fast den Gehweg ein. Als Rollstuhlfahrer hat man große Schwierigkeiten durch zu kommen. 2 Menschen können auch nicht nebeneinader durchgehen. Kinderwagen kommen schlecht an den Tischen vorbei.. Wenn dort Leute sitzen, muß man auf die Fahrbahn ausweichen!"
3496111,['qodgqp'],Tempelhof-Schöneberg,"Straßenaufsicht - Verkehrszeichen (beschädigt, defekt, etc.)",27.04.2022 - 15:11:28,Erledigt,"Fußgängerüberweg ist kaputtgefahren! Bitte DRINGEND reparieren. Wichtig!
"
3496777,['nn4em9'],Tempelhof-Schöneberg,Abfall - Sonstiges,28.04.2022 - 06:35:40,Erledigt,hier wurde privat Müll auf dem Gehweg entleert neben den Gelben Säckensiehe Fotos 
3496104,"['6wll35', 'khx4x']",Tempelhof-Schöneberg,Hindernisse auf Radweg,28.04.2022 - 08:25:31,Erledigt,Auf Radweg 
3496912,['lq4ykh'],Tempelhof-Schöneberg,Gesundheitsschutz/Hygiene - Ungeziefer (z. B. Ratten),28.04.2022 - 09:05:59,Erledigt,Im Hof des Hauses sieht man bei den Mülltonnen abends regelmäßig Ratten
3499055,['tsfnr5'],Tempelhof-Schöneberg,Abfall - Müllablagerung,28.04.2022 - 13:53:14,Erledigt,"Eine styroporkiste mit sämtlichen Unrat aus dem Haushalt wurde neben einer parkbank auf dem friedhofsgelände abgestellt. Siehe Foto.
"
3499161,['lx06ip'],Tempelhof-Schöneberg,Hindernisse auf Radweg ,28.04.2022 - 18:12:38,Erledigt,"Baken
"
3499243,['7rkw01'],Tempelhof-Schöneberg,"Abfall - Bauabfälle, Bauschutt",28.04.2022 - 18:33:58,Erledigt,An unserem Container wird von uns nicht bekannten Personen Müll abgestellt. Wir sind zur Anzeige bereit wenn sich die entsprechenden Verursacher ausfindig machen lassen. 
3505503,['5cq3up'],Tempelhof-Schöneberg,Straßenaufsicht - Sonstiges,29.04.2022 - 16:56:21,Erledigt,Im Bereich des Fußgängerüberweges wurden im Sommer 2021 Bauarbeiten durchgeführt. Nach Abschluss wurde die Kennzeichnung des Überweges mit einer deutlichen weißen Figur und klaren Linien bis heute nicht erneuert.
3504945,['ab9ukh'],Tempelhof-Schöneberg,Wilder Müll,29.04.2022 - 18:45:52,Erledigt,"Auf dem Gehweg stapelt sich großer Sperrmüll aus Holzplatten, Untergestell von Bett, kaputtes Holzregal, Sofateile, Holzplatten, jeden Tag etwas mehr. Herkunft unbekannt, womöglich in Zusammenhang mit dem Umbau der zum Verkauf stehenden Erdgeschosswohnung."
3505906,['qm3zsx'],Tempelhof-Schöneberg,Abfall - Müllablagerung,29.04.2022 - 23:09:29,Erledigt,Neben  Birke mehrere Müllsäcke abgelagert 
3506140,['e87htt'],Tempelhof-Schöneberg,Sondernutzung - Plakatierung,30.04.2022 - 19:00:29,Erledigt,Illegale Anbringung 
3506287,['4dlwqp'],Tempelhof-Schöneberg,Abfall - Sonstiges,30.04.2022 - 19:57:40,Erledigt,"Fahrer der A-Klasse hat dort ca. 30min geparkt und sich hinter seinem PKW diverser Küchentücher, Zigarrettenverpackung und Getränkedose entledigt."
3506292,"['swd0xt', '8d72m9']",Tempelhof-Schöneberg,Lärm - Gaststätte,30.04.2022 - 20:01:45,Erledigt,"Die Kneipe hat im Außenbereich durch zusätzliche Stühle ihren Nutzungsbereich weit überschritten. Eine persönliche Vorsprache mit Bitte um Reduzierung brachte lediglich einen Umzug der Stühle von der benachbarten Ladenfläche vor dem Friseur auf den Gehweg vor der Kneipe. Die Lärm - und Rauchbelästigung ist immens und sorgt für wachsenden Unmut bei den Nachbarn. Wir bitten um Reduzierung auf die erlaubte Anzahl Tische mit Bestuhlung, momentan sitzen und stehen ca 35 Leute vor der Kneipe. "
3506407,['eqxqf5'],Tempelhof-Schöneberg,unerlaubte bestuhlung,30.04.2022 - 20:34:22,Erledigt,Man kommt kaum an den Tischen und Stühlen vorbei weil der Wirt alles zustellt obwohl er nur 5 Tische darf.
3506949,['z1zim9'],Tempelhof-Schöneberg,Straßenaufsicht - Mangelnde Straßenreinigung,01.05.2022 - 11:41:36,Erledigt,Antisemitische Schmierereien
3507091,['25q81'],Tempelhof-Schöneberg,Fußgängerüberwege verstellt,01.05.2022 - 12:59:18,Erledigt,"Beidseitig des Restaurant Lamyra wird der öffentliche Raum und die Überwege für Fußgänger durch Aufstellte, Weinfässer, Tafeln
 verstellt und bewirtschaftet. Es ist schwer möglich z.B. mit dem Fahrrad schiebend zur Fahrbahn zu gelangen, bzw. mit Einkäufen zum Hauseingang zu gelangen.
Besonders der auf dem Foto schwer einsichtige Übergang zwischen den Bäumen wäre wichtig, ist aber mit Tisch und Stühlen verstellt.
Besonders an den Wochenenden verschärft sich das Bild zunehmend."
3507152,"['qrknb5', 'rspvy9']",Tempelhof-Schöneberg,Abfall - Sperrmüll,01.05.2022 - 15:11:17,Erledigt,Vermutlich von Obdachlosen; überall liegen Gegenstände rum und Essensreste
3508475,['qwkg01'],Tempelhof-Schöneberg,Straßenverkehrsrechtliche Anordnungen - Verkehrszeichen,01.05.2022 - 16:40:30,Erledigt,"An dieser Stelle sollte dringend ein Stopzeichen oder ein Hinweis zur Achtung der Vorfahrt aufgestellt werden. 95% aller Verkehrsteilnehmer, die aus der verkehrsberuhigten Zone kommen, gehen irrtümlicher Weise davon aus, dass Sie Vorfahrt hätten, was nicht der Fall ist. Ein einfaches Schild kann hier schnell und effektiv Abhilfe schaffen. Es kommt hier täglich mehrmals fast zu zusammenstößen bzw. heiklen Situationen, dass täglich Verkehrsteilnehmer aneinander geraten. "
3508477,['oynabl'],Tempelhof-Schöneberg,Abfall - Müllablagerung,01.05.2022 - 17:13:00,Erledigt,Seit Wochen überquellender Abfallcontainer
3507099,['13m7ep'],Tempelhof-Schöneberg,Abfall - Müllablagerung,01.05.2022 - 17:20:44,Erledigt,"Sehr geehrter Damen und Herren, es ist zu viel Müll die Container reichen öffentliche nicht aus , vor den Containern auf dem Öffentlichen Gehweg , liegt regelmäßig Sperrmüll, Haushaltsmüll Und Lebens Mittel, es gibt jede Menge Ratten Befall auf dem Gehweg "
3507146,['c83och'],Tempelhof-Schöneberg,"Abfall - Bauabfälle, Bauschutt",01.05.2022 - 17:38:34,Erledigt,Die illegale Sperrmüllhalde wird langsam lebensgefährlich für spielende Kinder. Hier muss dringend gehandelt werden!
3508489,['nvmmf5'],Tempelhof-Schöneberg,Parkraumbewirtschaftung - Sonstiges,01.05.2022 - 17:51:38,Erledigt,"Das Halteverbot in der Einmündung wird durch die vorhandene Beschilderung , verengt.
Durch das versetzen des Halteverbotsschildes nach rechts, wäre der Zweck ( absolutes Halteverbot) gewährleistet und der
Verkehrsfluss im Bereich der Einmündung,wäre wie ursprünglich beabsichtigt ,gegeben ."
3508522,['7us2kh'],Tempelhof-Schöneberg,Straßenaufsicht - Sonstiges,01.05.2022 - 20:19:23,Erledigt,"Das Werbeschild flackert 24 Stunden, 7 Tage die Woche. "
3508618,['8l0075'],Tempelhof-Schöneberg,Parkraumbewirtschaftung - Sonstiges,02.05.2022 - 07:42:28,Erledigt,"Die Einfahrt der Beckerstr. 24/Beckerstr. 24a ist oftmals zugeparkt, Anwohner des Hauses sind berechtigt ihr PKW im Innenhof zu parken. Diverse Fahrzeuge, welche in der Einfahrt gestanden haben, mussten abgeschleppt werden. Teilweise mit großer Zeitverzögerung von mehreren Stunden. Ein entsprechendes Warnschild ist an der Durchfahrtstür angebracht.

Daher möchten wir, in Vertretung für den Eigentümer, um die Genehmigung von weiteren Maßnahmen bitten (bspw. ein Poller und Fahrbahnmarkierungen). Bitte lassen Sie uns wissen welche Unterlagen eingereicht oder an welche Stelle wir uns richten müssen. Lieben Dank!"
3509112,['3v6wox'],Tempelhof-Schöneberg,Sondernutzung - Plakatierung,02.05.2022 - 07:54:51,Erledigt,"Plakatierung am Platz mit diversen Schildern, wirkt unwürdig für den Ort"
3508897,['ar1c01'],Tempelhof-Schöneberg,"Baustellen - fehlende, mangelnde Absicherung",02.05.2022 - 10:43:28,Erledigt,"Seit einer Woche ist der Fußweg komplett gesperrt ohne dass es eine Möglichkeit gibt die Strassenseite zu wechseln. Mit Kinderwagen oder Rollstuhl unmöglich. Von den Bauarbeitern wird man beschimpft, wenn man sagt, dass sie doch mal so eine Möglichkeit schaffen. Es parken weiter oft Baustellen LKW zusätzlich davor, so dass fast kein Durchkommen auch auf der Straße gegeben ist"
3508947,['ecw1z5'],Tempelhof-Schöneberg,Abfall - Müllablagerung,02.05.2022 - 10:53:17,Erledigt,Illegale Ablagerung von Weihnachtsbäumen und anderem Müll direkt auf dem Gehweg. Dringend. 
3510297,['wug3y9'],Tempelhof-Schöneberg,Parkraumbewirtschaftung - Parkscheinautomat,02.05.2022 - 14:28:19,Erledigt,"Solar Mast mit Parkscheinautomaten Schild + BSR Mülleimer durch Rost umgefallen!
"
3509278,['ons35t'],Tempelhof-Schöneberg,Straßenaufsicht - Straßen- und Gehwegschäden,02.05.2022 - 14:49:30,Erledigt,"Hallo,
vor 3 Wochen haben Sie schonmal ein Loch auf dem Bürgersteig vor unserem Café begradigt. Leider sind die Steine jetzt schon wieder lose und ein kleines Loch ist entstanden"
3511870,['sjxn29'],Tempelhof-Schöneberg,Straßenverkehrsrechtliche Anordnungen - Verkehrszeichen,03.05.2022 - 09:37:06,Erledigt,Tempo 30 Zone sollte auch in der Kielganstrasse gelten
3512096,['2qcxdt'],Tempelhof-Schöneberg,Abfall - Müllablagerung,03.05.2022 - 11:44:11,Erledigt,Seit Monaten verrottet hier ein Rollstuhl (schon mehrmals gemeldet)
3512219,['db6g3l'],Tempelhof-Schöneberg,Sondernutzung - Bauschuttcontainer,03.05.2022 - 14:15:18,Erledigt,"Hallo, sei mehreren Wochen steht ein Container auf der Straße mittlerweile wird dort auch Baumaterial gelagert. Der Baumbestand wurde bereits durch das Öffnen des Containerdeckels mehrfach beschädigt, mittlerweile wurde er aus dem Baumbereich geschoben, um Platz für Baumaterial zu schaffen. Mehrere Anwohner-Parkplätze werden blockiert. Es sind Absperrungen einer Baustelle ohne ""offizielle""  Halteverbotsschilder. Da es nunmehr wie gesagt ein Dauerzustand ist, bitte ich um Überprüfung. "
3512229,['db6g3l'],Tempelhof-Schöneberg,Sondernutzung - Bauschuttcontainer,03.05.2022 - 14:15:18,Erledigt,"Hallo, sei mehreren Wochen steht ein Container auf der Straße mittlerweile wird dort auch Baumaterial gelagert. Der Baumbestand wurde bereits durch das Öffnen des Containerdeckels mehrfach beschädigt, mittlerweile wurde er aus dem Baumbereich geschoben, um Platz für Baumaterial zu schaffen. Mehrere Anwohner-Parkplätze werden blockiert. Es sind Absperrungen einer Baustelle ohne ""offizielle""  Halteverbotsschilder. Da es nunmehr wie gesagt ein Dauerzustand ist, bitte ich um Überprüfung. "
3513294,['hoywox'],Tempelhof-Schöneberg,Straßenverkehrsrechtliche Anordnungen - Baustellen,03.05.2022 - 17:02:25,Erledigt,Durchfahrt für Radfahrende 
3515284,['pdj5z5'],Tempelhof-Schöneberg,Hindernisse auf Radweg ,04.05.2022 - 07:57:08,Erledigt,"Hindernisse 
"
3513282,['4bbqip'],Tempelhof-Schöneberg,Abfall - Sonstiges,04.05.2022 - 09:32:29,Erledigt,verteilter Hausmüll
3515380,['gvbd35'],Tempelhof-Schöneberg,Abfall - Müllablagerung,04.05.2022 - 10:16:56,Erledigt,Der Kleidersammelcontainer der Malteser ist voll und davor sammeln sich Kleider am Boden.
3515843,['wabawx'],Tempelhof-Schöneberg,Abfall - Schrottfahrräder,04.05.2022 - 14:11:17,In Bearbeitung,An beschriebenem Ort befinden sich seit mehreren Monaten 3 defekte nicht mehr fahrbereite Schrottfahrräder angeschlossen an den Baumschutzbügeln.
3515849,['5deosh'],Tempelhof-Schöneberg,Abfall - Sperrmüll,04.05.2022 - 14:37:55,Erledigt,Sessel und Verkehrsschild an der Toilettenanlage
3515927,['l5ilfl'],Tempelhof-Schöneberg,Sondernutzung - Schankvorgärten (Tische und Stühle),04.05.2022 - 16:02:09,Erledigt,"Die Sisha Bar namens ""Hayati"" nimmt teilweise in den Abend Stunden mit den Stühlen und Tischen  den ganzen Gehweg. Ich bitte um Kontrolle zwecks ner Sondergenehmigung. Mfg"
3519444,['kmeb5t'],Tempelhof-Schöneberg,Toiletten ,05.05.2022 - 10:21:51,Erledigt,"die Toiletten Situation für die Markstandbetreibenden und Besucher*innen des Winterfelder Wochenmarktes ist unterirdisch. Es gibt schlichtweg keine Toiletten.
Die Marktbetreibenden haben keine Möglichkeit kostenlos auf eine saubere Toilette zu gehen und sich regelmäßig die Hände zu waschen.
Dieser Missstand muss umgehend behoben werden. "
3519239,['6z7cx'],Tempelhof-Schöneberg,Abfall - Müllablagerung,05.05.2022 - 12:28:06,Erledigt,Matratze und Möbelteile
3519474,['7r651d'],Tempelhof-Schöneberg,Straßenverkehrsrechtliche Anordnungen - Anfrage Schwerbehindertenparkplatz,05.05.2022 - 14:49:48,Erledigt,Die betroffene Person arbeitet nicht mehr im Rathaus Schöneberg mit der Nr. 08-0635
3519491,['3es8w1'],Tempelhof-Schöneberg,Straßenverkehrsrechtliche Anordnungen - Baustellen,05.05.2022 - 16:44:47,Erledigt,"Fahrraddurchfahrt nordwärts ist nicht durch Verkehrszeichen 1000-32 gegen die Einbahnstraßenrichtung zugelassen obwohl die Straße an der engsten Stelle mehr als 3,50 m breit ist. Da es sich um eine projektierte überbezirkliche Fahrradstraße mit viel Fahrrad-Verkehr handelt und die Baustelle bereits seit über einem Monat ohne sichtbaren Fortschritt besteht, steht eine entsprechende Ausschilderung dringend aus!"
3519525,['2ekpvl'],Tempelhof-Schöneberg,Lärm - Gewerbe,05.05.2022 - 19:19:07,Erledigt,Wiederholter Betrieb der Waschanlage bei geöfnetem Tor.
3526329,['sgqght'],Tempelhof-Schöneberg,Sonstiges - allgemeine Anfrage und Auskunft,06.05.2022 - 17:21:05,Erledigt,Am Naumannplatz wurden neue Haltverbotsschilder aufgestellt. Meines Wissens müssen diese 5m hinter einer Kreuzungseinmündung aufgestellt werden. In Friese Fall ist fast das doppelte. Die Schilder wurden einfach an bestehende Pfosten angebracht. Ich bitte um Anpassung oder Erklärung der Lage. 
3526334,['c3eewx'],Tempelhof-Schöneberg,Sondernutzung - Schankvorgärten (Tische und Stühle),06.05.2022 - 17:53:52,Erledigt,"Vor dem Café Kaffeeschwestern und ggü. vor dem Restaurant Meyman wurden Tische und Stühle auf dem Unterstreifen des Gehweges verbracht, was ein Überqueren der Straßenseiten erschwert. Ich nehme an, dass es dafür keine Genehmigung gibt.
"
3526337,"['rvpvcx', 'qitatd']",Tempelhof-Schöneberg,Hund - ohne Leine,06.05.2022 - 17:59:18,Erledigt,Frei laufender dauernd bellender Hund auf der Wiese vor der Kirche 
3526397,['bx5o1t'],Tempelhof-Schöneberg,Straßenverkehrsrechtliche Anordnungen - Sonstiges,07.05.2022 - 01:01:32,Erledigt,"Diese E-Scooter steht bereits seit Anfang der Woche an dieser Stelle. Bitte für Beseitigung sorgen, da er auf dem schmalen Bürgersteig sehr störend ist."
3528393,['1i9nnl'],Tempelhof-Schöneberg,eigenmächtiges Absperren Baustelle,07.05.2022 - 13:39:18,Erledigt,eigenmächtiges Absperren einer Baustelle ohne das Aufstellen von Schildern
3528434,['b2vncx'],Tempelhof-Schöneberg,Baustellen - Sonstiges,07.05.2022 - 15:02:57,Erledigt,Baustelle ist seit einem Monat nicht geräumt. Sondernutzung endete am 29.3.32
3528995,['v6v6rl'],Tempelhof-Schöneberg,Gewerbe/Gaststätten - Beschwerden,09.05.2022 - 10:52:15,Erledigt,"Der ganze Platz ( kadewe  seite ) ist mit tischen und  bestuhlung vollgestellt, kaum möglichkeiten zum Überqueren des Pöatzes in richtung und u- bahn geschweige von Löschfahrzeugen "
3529038,['ckzx1d'],Tempelhof-Schöneberg,Abfall - Müllablagerung,09.05.2022 - 13:55:26,Erledigt,Einige Müllsäcke neben dem Eingang 
3530978,['qrda9'],Tempelhof-Schöneberg,Zugang zum Markt Breslauer Platz,10.05.2022 - 18:17:58,Erledigt,Durch Tische und Stühle vom Café Lula wird der Zugang deutlich eingeschränkt.
3531687,"['j0dkox', 'mw7w1t']",Tempelhof-Schöneberg,Abfall - Müllablagerung,11.05.2022 - 11:28:57,Erledigt,"Rattenbefall, viele offene Mülltonnen und Ablagerungen, eingebrochener Gully"
3533928,['ge3wn5'],Tempelhof-Schöneberg,Lärm - Gaststätte,11.05.2022 - 16:58:18,Erledigt,"Die alte Lüftungsanlage der Gaststätte Sushi Brothers läuft täglich von 11 bis 23 Uhr, so dass der ganze Hinterhof beschallt wird. Das ist unerträglich, wie kann das genehmigt sein?"
3535624,['kylywx'],Tempelhof-Schöneberg,Verkehr,12.05.2022 - 09:26:24,In Bearbeitung,"In der Einmündung der Handjerystraße von der Schmiljanstr. gibt es seit Tagen massive Behinderungen durch baustellenfahrzeuge und auf der gegenspur abgestellten Handwerkerfahrzeugen.
Gerade an dieser Engstelle kommt es immer wieder zu gefährlichen Begegnungen zwischen Fahrrädern und Autos.
Leider ist hier nichts abgesperrt oder geleitet. "
3541999,['uyzg1t'],Tempelhof-Schöneberg,Baustellen - Sonstiges,14.05.2022 - 10:27:36,In Bearbeitung,Seit Monaten steht das alles ohne genutzt zu werden. Das nimmt Parkplätze weg!!! Es wird vor allem Müll dort weg geschmissen. Bitte Bauwagen und Zäune entfernen...
3542193,['3quadd'],Tempelhof-Schöneberg,Abfall - Schrottfahrräder,14.05.2022 - 15:09:48,In Bearbeitung,Ofen und Fahrrad 
3542450,"['sztv5t', 'blfe2p']",Tempelhof-Schöneberg,Abfall - Schrottfahrräder,14.05.2022 - 19:17:58,In Bearbeitung,Mehrere defekte Fahrräder 
3542467,['ok0d1d'],Tempelhof-Schöneberg,Abfall - Schrottfahrräder,14.05.2022 - 19:21:48,In Bearbeitung,Herren und Damen Fahrräder. Teilweise ohne Räder 
3542523,['m9lpmp'],Tempelhof-Schöneberg,Plastikeinkaufstüten,14.05.2022 - 20:57:44,In Bearbeitung,Der EDEKA Markt Wsas verkauft nach wie vor Einkaufstüten gegen Entgeld 
3542959,['w7y58h'],Tempelhof-Schöneberg,Gehweg/Radweg zugeparkt,15.05.2022 - 05:19:42,Erledigt,"Guten tag.
Dieser anhänger parkt monate lang an der selben stelle und dient als reservierung für sein motorrad direkt vor der haustür des besitzers.
Der besitzer des anhängers benutzt es ebenfalls als lager etc.
Bitte handeln sie endlich.
Ist das erlaubt???
Dies ist nicht die erste meldung von dem fall und es kommt kein feedback.
Es gibt hier keine parkplätze für solche parkplatzreservierungen.
Sonsonten kaufe ich mir 5-6 roller und stelle die mir auch vor die haustür.
"
