item_category,item_condition,item_postcode,item_available_timer,distance,n_views,n_likes,item_available
furniture,poor,10318,86,12470,515,56,1
furniture,acceptable,12359,18,7362,1732,0,1
furniture,like_new,13585,79,30845,1145,22,0
kids,good,10245,61,16712,229,34,1
clothes,acceptable,10559,91,24108,808,121,0
furniture,acceptable,13465,16,3169,748,74,0
clothes,like_new,10317,36,28929,1219,158,0
kitchen_utensils,poor,12099,7,6267,448,67,0
clothes,like_new,12685,50,12918,1640,180,0
other,poor,12103,3,5506,1549,232,1
kitchen_utensils,acceptable,12163,36,23636,400,48,1
clothes,poor,10967,75,18393,560,106,0
kitchen_utensils,good,10587,56,19892,510,15,1
other,good,14052,18,29933,816,138,1
furniture,poor,12355,2,9185,134,0,1
clothes,acceptable,10777,46,9168,161,27,0
kids,like_new,13587,81,9092,364,7,0
furniture,like_new,10247,16,28381,206,37,1
kids,poor,13503,40,30402,1827,36,0
other,poor,13587,94,27655,1072,160,0
kids,good,14050,60,30315,838,108,1
furniture,acceptable,10963,33,13354,1112,122,1
furniture,like_new,12557,84,19365,233,18,1
furniture,poor,10629,53,7822,833,108,0
clothes,acceptable,13359,34,1241,14,1,0
furniture,poor,10559,73,315,1398,83,0
kids,poor,10317,46,30589,629,62,0
other,good,10409,21,14844,1308,209,0
kitchen_utensils,acceptable,12055,14,11787,651,19,0
furniture,poor,12107,20,30551,937,159,1
kids,like_new,10785,42,9805,1047,73,0
kids,good,12527,49,22022,1531,122,0
kitchen_utensils,like_new,10997,3,2237,505,0,1
other,good,10589,30,5718,72,13,1
clothes,like_new,12307,18,3097,451,49,0
other,acceptable,12051,18,17125,902,144,1
kids,poor,10623,12,15629,458,82,1
other,acceptable,12047,26,28149,1741,191,1
kitchen_utensils,acceptable,12169,64,15534,1439,158,1
furniture,like_new,13581,96,20159,580,87,1
kids,acceptable,10777,84,26928,1238,111,0
kitchen_utensils,acceptable,12053,75,19098,115,16,0
furniture,poor,10717,29,22745,213,8,1
kids,poor,12621,1,6690,1432,157,0
clothes,good,10709,53,29285,1020,61,1
clothes,good,13125,91,20148,1254,100,1
kids,like_new,12351,77,1662,766,38,0
kitchen_utensils,like_new,12685,33,9384,1896,322,1
other,good,12353,76,18647,1700,136,1
kitchen_utensils,acceptable,10365,93,17763,883,167,0
other,poor,12167,38,18128,884,79,1
kids,good,12277,70,5590,1124,0,1
furniture,poor,10715,2,15370,510,40,1
other,good,12629,25,2353,260,5,0
furniture,like_new,12685,82,30856,1816,145,1
kids,acceptable,13503,30,19053,1679,117,0
other,poor,13189,82,31226,702,7,1
kids,good,12559,48,29094,186,14,1
clothes,like_new,13581,10,17980,1195,179,0
kitchen_utensils,like_new,10317,27,16715,1903,342,1
clothes,good,13403,61,14897,508,50,1
kitchen_utensils,acceptable,12047,24,22197,742,96,0
other,acceptable,13086,27,25938,820,57,0
other,good,14197,25,15795,777,38,1
kitchen_utensils,like_new,14055,41,21562,1507,180,1
clothes,acceptable,10367,46,3755,1591,302,1
furniture,good,12623,52,17923,1354,94,1
furniture,poor,13129,23,5090,644,38,0
kitchen_utensils,acceptable,10787,88,15933,1932,154,0
kids,good,10405,31,21834,1240,124,1
furniture,poor,10178,34,5975,1157,46,1
clothes,poor,12527,8,4677,379,18,0
kitchen_utensils,like_new,10825,64,12067,104,9,1
furniture,acceptable,13407,5,2739,865,0,0
kitchen_utensils,poor,10557,26,29665,545,0,0
furniture,good,12355,2,15035,1058,105,1
kitchen_utensils,good,14169,93,17439,1479,207,0
kids,poor,10317,13,9781,1163,162,1
furniture,like_new,12557,84,2106,1509,226,1
kitchen_utensils,acceptable,10961,68,13618,1793,53,1
kitchen_utensils,good,10827,12,15749,901,126,0
clothes,like_new,13158,8,655,622,105,1
furniture,good,12049,30,26661,1464,102,1
kids,poor,10409,36,5441,210,4,1
other,good,13086,66,26575,29,5,1
kids,good,13469,93,7922,476,80,0
clothes,good,13437,82,1912,799,143,1
other,poor,13469,84,22364,1394,69,0
kitchen_utensils,good,12459,53,14664,941,47,0
kids,poor,13158,36,6158,1783,35,1
furniture,acceptable,14053,69,24589,1290,25,1
kids,acceptable,13437,40,17173,212,6,1
other,poor,14057,74,10075,1487,208,1
clothes,good,13355,76,21262,17,1,1
furniture,acceptable,13585,84,6407,200,4,0
kitchen_utensils,acceptable,12487,61,8836,1859,148,1
clothes,poor,12055,25,7729,1889,226,1
kitchen_utensils,good,12489,65,19344,583,58,1
kitchen_utensils,like_new,12459,57,7813,1586,301,1
kids,good,13187,40,27462,1011,20,1
kids,good,10589,34,12303,1099,54,1
other,poor,10435,42,16269,676,101,1
kids,acceptable,10709,97,12744,747,29,1
clothes,poor,12165,29,29553,1492,104,0
furniture,acceptable,10715,31,6249,917,100,1
furniture,good,13055,99,6888,1567,235,1
kitchen_utensils,poor,10551,1,11512,1572,235,0
clothes,poor,10719,62,22176,333,9,1
other,good,13353,10,24648,327,16,1
other,good,10789,0,75,1990,298,0
furniture,poor,10709,71,21656,95,3,0
furniture,poor,12627,58,8166,1339,0,1
other,acceptable,10243,28,50,619,37,1
kitchen_utensils,good,14053,24,2881,159,14,1
kids,acceptable,13051,29,21709,310,21,1
clothes,acceptable,13349,42,1625,1367,191,1
clothes,acceptable,10317,64,3685,281,30,1
furniture,poor,10969,91,18861,36,0,1
clothes,good,10625,26,31380,1280,76,0
clothes,poor,13089,48,12704,1802,270,1
kids,good,14195,43,851,1463,175,1
kids,like_new,12249,8,17350,1359,108,0
clothes,like_new,12487,70,15947,698,97,1
kitchen_utensils,acceptable,13057,20,2986,1391,27,1
kids,like_new,13587,78,17377,962,163,1
kids,poor,13403,68,23991,619,86,1
kitchen_utensils,like_new,12159,73,14127,988,69,0
clothes,like_new,12167,76,16027,1963,274,1
kids,like_new,12459,4,4763,1953,292,1
kids,acceptable,12587,49,29915,458,13,0
other,poor,10179,97,17534,1948,311,0
clothes,poor,13469,97,1772,1947,136,0
furniture,poor,12049,28,31859,12,1,0
furniture,poor,12167,67,9950,1700,85,0
clothes,good,12305,3,29119,1392,167,1
kids,like_new,12437,91,8471,1972,177,0
kids,like_new,12349,32,31652,1151,161,0
kids,good,10557,96,6656,1716,137,0
furniture,poor,13125,9,1815,1408,42,0
other,good,12249,66,1694,1960,0,0
kids,good,10997,51,25235,1450,275,1
kids,like_new,10557,61,9431,887,97,0
other,like_new,10967,18,15194,1779,249,1
kitchen_utensils,poor,10407,34,4969,1675,150,0
furniture,acceptable,13467,31,2794,1451,145,0
clothes,acceptable,10317,90,4831,1476,206,0
kitchen_utensils,acceptable,14193,91,12362,191,34,1
furniture,poor,12165,92,20805,657,111,1
other,good,13505,87,5947,112,15,1
furniture,good,10178,33,17497,33,6,0
kids,good,13125,3,7741,1425,242,1
clothes,poor,12043,4,14136,1203,72,0
clothes,acceptable,10789,75,656,361,64,1
clothes,good,10435,33,23698,38,1,0
other,like_new,10717,96,28582,923,9,0
kitchen_utensils,acceptable,13057,78,2416,191,21,0
other,good,10247,25,19914,335,40,1
furniture,good,13409,46,18112,744,96,1
kids,acceptable,12169,30,28534,1415,127,0
furniture,acceptable,10787,99,17996,891,98,0
furniture,like_new,12279,68,20927,672,0,1
other,acceptable,10179,25,11811,5,0,0
furniture,acceptable,10318,50,13405,1866,298,0
clothes,good,12355,44,9384,290,46,0
other,acceptable,12165,37,6129,411,24,0
kids,acceptable,10585,18,795,693,110,0
kitchen_utensils,good,14193,42,29847,1670,100,0
furniture,acceptable,10553,91,31304,670,120,0
furniture,acceptable,12589,32,8019,1145,91,1
furniture,acceptable,13467,66,8630,1496,269,1
kids,acceptable,12357,13,28646,1166,0,1
clothes,acceptable,13437,43,10214,843,25,1
other,good,10249,74,5331,1996,319,1
clothes,like_new,13581,5,4201,935,130,0
clothes,like_new,13158,82,27663,1130,11,0
furniture,good,12355,24,3140,1964,0,0
furniture,like_new,12167,94,21809,628,100,0
other,good,13125,40,31705,1005,20,1
kitchen_utensils,good,10713,4,18293,1823,164,1
clothes,acceptable,12165,77,16877,190,26,0
kitchen_utensils,good,12351,99,14700,1619,32,1
kitchen_utensils,poor,12209,72,27906,42,2,0
furniture,good,10627,92,5353,1972,236,0
kids,like_new,13407,48,16072,938,131,1
other,poor,12526,28,16773,33,5,1
kids,like_new,10787,70,3691,904,27,1
clothes,poor,13129,38,17915,55,3,0
other,acceptable,14165,91,18222,723,36,0
other,acceptable,10365,17,6511,985,68,1
furniture,like_new,10317,19,17993,15,0,0
kitchen_utensils,good,12621,59,27237,1577,0,1
kids,acceptable,10551,29,3170,125,21,0
other,like_new,12109,82,4691,1692,287,0
kitchen_utensils,good,13407,81,24334,1609,225,1
other,poor,10827,21,22785,1395,181,0
clothes,poor,14109,76,21301,1028,82,0
kids,acceptable,12683,80,27558,1800,198,0
kids,acceptable,13351,54,21115,934,140,1
kids,poor,14059,69,20096,1340,107,1
clothes,poor,12353,80,12234,287,20,1
furniture,good,10179,17,22511,917,82,0
furniture,like_new,10785,9,10939,1748,17,1
kids,like_new,12051,27,18912,384,46,1
other,good,13405,42,20757,726,14,1
kitchen_utensils,acceptable,13593,97,16118,158,28,1
furniture,poor,14050,90,11984,978,68,0
kitchen_utensils,good,10781,34,15053,851,136,0
clothes,good,10823,83,12632,1431,143,0
kids,acceptable,12685,86,9480,466,0,0
kitchen_utensils,poor,12557,97,11830,115,4,1
furniture,good,12161,48,21347,326,16,0
kitchen_utensils,like_new,12209,44,10308,1883,169,0
kids,poor,13503,71,8158,115,11,0
other,good,12161,15,3683,382,42,0
kitchen_utensils,good,10783,68,1523,58,0,1
clothes,like_new,12619,85,28568,106,8,0
kids,poor,13405,46,21735,1138,216,0
kids,good,13581,14,1155,1764,317,0
kids,acceptable,10409,6,731,351,56,0
furniture,poor,12437,20,22065,1498,179,0
kitchen_utensils,acceptable,14052,91,26884,1031,134,0
other,acceptable,12045,65,14210,1543,154,1
clothes,poor,10409,82,23665,1280,102,1
clothes,like_new,13581,46,15278,53,4,0
furniture,poor,13053,63,4180,121,16,1
clothes,good,12043,98,9139,251,12,1
clothes,like_new,13349,81,12531,106,8,1
furniture,good,13129,7,31847,548,49,1
kids,poor,10317,12,8489,325,3,1
clothes,poor,12043,39,340,1748,279,0
other,poor,13359,77,2545,1030,133,0
kitchen_utensils,like_new,10785,16,30584,1189,225,0
other,poor,12101,78,29310,1554,46,1
kids,good,10589,39,2858,1315,236,1
kids,acceptable,10825,81,2714,1166,186,0
kitchen_utensils,good,12526,65,3079,445,31,1
furniture,acceptable,14195,6,21709,210,6,1
kids,good,10249,17,3139,338,13,1
kitchen_utensils,good,10243,70,23072,273,13,0
kitchen_utensils,like_new,13583,58,18543,76,5,0
kitchen_utensils,like_new,13467,58,12641,191,1,0
other,good,10318,57,2017,1955,312,0
furniture,acceptable,12099,91,12433,1725,34,1
kitchen_utensils,poor,12435,99,25421,624,24,0
kids,good,10553,52,13311,490,73,1
furniture,acceptable,13088,99,5008,1367,13,0
other,poor,10719,1,20582,1662,83,1
other,good,10319,22,999,1085,141,0
kitchen_utensils,good,12161,86,21098,967,174,1
kids,poor,12207,12,2655,733,117,0
kitchen_utensils,good,14199,64,13141,460,82,0
furniture,poor,12527,38,31819,1737,34,1
kids,poor,13465,37,15590,1702,85,1
kids,acceptable,12209,16,19882,1781,124,1
clothes,acceptable,14057,4,2069,1022,40,1
other,like_new,13505,32,30235,1301,91,1
kids,like_new,10249,70,27339,1988,298,0
furniture,acceptable,12351,64,15915,1369,13,1
furniture,good,14057,3,19352,1778,88,1
kids,poor,12681,23,17040,596,95,0
kids,like_new,10969,68,2381,322,16,1
other,acceptable,13465,35,2768,832,24,1
clothes,acceptable,12347,81,30774,915,73,0
kitchen_utensils,like_new,10243,11,2253,1437,71,0
other,good,13581,83,13035,1557,233,0
clothes,good,12209,62,2879,1935,135,0
clothes,poor,13405,94,3936,1498,164,1
kitchen_utensils,acceptable,10787,94,1543,698,55,1
kids,poor,14129,97,12496,1463,29,0
kids,poor,10243,85,24268,838,33,0
furniture,good,10825,32,8650,46,7,1
furniture,good,12099,79,27105,1233,197,0
kids,poor,12587,80,6921,320,22,1
kitchen_utensils,good,14197,94,6898,1269,164,1
kids,acceptable,12161,54,6342,1804,108,1
other,good,14057,83,8763,536,32,1
other,poor,12435,47,19242,1875,206,0
kids,acceptable,10999,58,4974,1875,337,1
other,acceptable,12305,26,8392,683,27,0
clothes,good,13469,41,12767,0,0,1
furniture,like_new,13409,73,28576,799,79,1
clothes,good,10719,33,8859,1118,89,0
clothes,poor,12103,80,29200,55,3,0
furniture,poor,10787,52,24319,404,4,1
kitchen_utensils,like_new,10553,3,31091,612,61,1
other,acceptable,14197,63,24318,1024,30,1
furniture,good,10965,63,8576,1324,198,1
kitchen_utensils,like_new,10555,28,13940,1198,0,0
kids,poor,14129,2,28818,838,150,0
furniture,like_new,10829,15,1664,128,3,0
kitchen_utensils,like_new,13407,92,5124,627,68,1
furniture,acceptable,13156,32,13109,533,74,1
kitchen_utensils,like_new,13086,7,29654,511,97,0
kitchen_utensils,poor,12679,55,3781,1568,94,0
other,good,14195,77,27036,989,49,1
kitchen_utensils,good,12107,1,7793,1081,21,0
kitchen_utensils,good,13355,4,16437,1511,60,1
kitchen_utensils,acceptable,13599,31,27090,325,35,0
kids,like_new,12439,14,31953,244,14,1
kitchen_utensils,acceptable,10829,7,12081,872,26,0
furniture,like_new,12109,78,18246,444,57,1
kids,acceptable,13629,67,22967,781,15,0
kitchen_utensils,like_new,12437,69,22863,1985,198,1
clothes,good,12279,47,10846,1608,32,0
other,good,10999,41,1019,280,39,1
clothes,acceptable,13585,74,6692,1163,58,0
clothes,good,12277,7,12959,1861,316,1
kitchen_utensils,acceptable,13359,8,5319,627,106,0
clothes,poor,12347,99,16592,581,110,1
other,good,13581,81,15184,1033,134,0
other,good,10709,95,9735,1649,263,0
other,poor,13439,2,20336,491,63,1
clothes,poor,12307,9,24415,784,78,0
kitchen_utensils,acceptable,10785,79,18810,488,4,0
furniture,good,10367,61,17280,867,112,0
furniture,like_new,10625,22,18676,405,76,1
kitchen_utensils,acceptable,10365,66,8044,178,12,1
furniture,good,13469,87,25392,1698,101,0
clothes,good,10787,5,13545,383,19,1
clothes,good,12685,7,18089,651,0,0
clothes,good,13503,41,18589,474,47,0
furniture,like_new,12045,8,29766,1713,34,0
furniture,good,14089,63,30850,1758,140,1
kitchen_utensils,like_new,12249,27,25194,778,23,1
kids,acceptable,10435,83,13496,416,62,1
furniture,good,14057,29,18259,325,45,1
kids,like_new,10367,64,4910,582,75,0
other,good,10967,42,18802,1718,274,1
furniture,poor,12305,10,30479,1441,0,0
kids,poor,12527,19,11178,1577,0,1
other,acceptable,10119,27,31307,1872,131,0
kitchen_utensils,poor,10407,72,5106,1914,267,0
other,poor,12043,75,7529,630,44,1
other,acceptable,10629,55,4566,583,29,1
other,like_new,10961,16,27996,1412,268,1
furniture,acceptable,13051,97,15612,140,12,0
kitchen_utensils,good,10437,98,13650,776,108,0
other,poor,12053,95,21804,612,12,0
kitchen_utensils,like_new,10711,93,4441,550,38,1
kitchen_utensils,poor,12459,37,24740,948,85,1
furniture,acceptable,13469,61,21322,1379,234,1
furniture,like_new,13409,2,11997,360,57,0
kids,acceptable,10367,73,27199,1455,58,1
clothes,like_new,13088,10,30284,728,72,0
kitchen_utensils,good,13467,16,11315,272,19,0
other,poor,13158,98,19468,747,141,1
kids,good,10369,81,20559,132,6,0
furniture,good,12205,29,22324,1887,169,0
other,poor,12587,79,27887,909,172,1
kids,good,10627,63,31807,864,95,1
furniture,like_new,10557,72,25533,1803,144,1
furniture,good,10623,80,477,371,7,0
clothes,like_new,10825,10,19153,958,76,0
furniture,acceptable,10781,96,8610,823,115,1
clothes,acceptable,13591,28,1462,200,16,0
other,like_new,13055,10,5055,1068,53,1
furniture,poor,12524,47,19468,1067,138,0
other,acceptable,12169,77,13122,1298,168,0
furniture,acceptable,12589,42,22254,500,45,0
furniture,acceptable,12689,67,1518,720,72,0
clothes,poor,13597,4,17883,508,0,1
kids,good,12357,45,1687,45,4,0
other,good,10409,55,25637,1394,223,1
kids,acceptable,14053,17,6189,786,125,1
kitchen_utensils,acceptable,12049,62,26603,1568,266,1
other,like_new,12689,79,12329,1124,44,0
kids,acceptable,14109,74,30347,668,93,1
kitchen_utensils,good,12167,38,20425,1296,38,1
other,like_new,13593,76,21962,950,38,0
other,acceptable,12045,51,23355,789,94,0
kitchen_utensils,like_new,13051,64,21693,1090,130,0
furniture,good,12247,82,8679,1487,89,0
kids,poor,12487,12,24171,1135,45,0
other,like_new,12437,39,4798,122,10,0
furniture,like_new,12681,92,5490,477,57,1
kids,poor,13409,64,9604,1222,12,1
kids,acceptable,12347,4,4560,1682,168,1
kitchen_utensils,good,12555,10,16956,1112,77,0
furniture,like_new,10827,69,12648,169,15,1
furniture,acceptable,13629,12,11182,1237,123,1
furniture,poor,12587,8,17921,303,12,0
kitchen_utensils,like_new,14052,90,23391,740,59,1
kitchen_utensils,good,13503,9,1443,587,93,0
clothes,acceptable,13439,16,6999,1856,315,0
other,good,10999,46,17731,172,6,0
kitchen_utensils,good,10783,62,15814,1129,90,0
furniture,good,10785,66,20052,477,71,1
clothes,like_new,10787,94,29689,714,107,0
other,acceptable,13351,48,21787,1079,53,0
kids,acceptable,13599,56,25574,1082,119,1
kids,like_new,10317,69,2226,308,43,1
clothes,like_new,13437,8,30797,5,0,1
clothes,like_new,12439,51,10510,1218,231,1
kids,like_new,13629,95,12559,1703,68,0
furniture,like_new,13349,42,23405,1243,124,1
clothes,poor,12169,39,8160,1345,174,1
kids,like_new,12309,86,2435,102,12,1
other,good,14055,63,1517,426,21,1
furniture,good,13129,68,25393,734,0,0
clothes,good,13629,83,27065,727,65,0
furniture,acceptable,12681,93,18718,875,140,0
kids,good,13591,36,7253,1276,38,1
other,poor,13585,29,20303,217,17,1
clothes,like_new,13059,94,16377,1402,182,1
kitchen_utensils,poor,13507,72,180,1535,153,1
kids,like_new,13351,57,4171,1794,161,1
furniture,like_new,10999,32,11253,1721,326,0
kitchen_utensils,acceptable,10551,51,22922,927,46,0
furniture,acceptable,13086,67,12804,243,29,0
kitchen_utensils,poor,13156,82,8006,858,128,1
clothes,like_new,12305,40,15942,1674,301,1
other,like_new,12439,69,11784,794,55,1
kids,acceptable,13509,49,22944,1411,42,0
kids,acceptable,13509,69,12229,1885,131,1
kids,good,12487,9,18777,1030,103,0
other,good,10318,73,27640,1789,161,1
kitchen_utensils,acceptable,13187,13,30902,958,38,0
furniture,like_new,12099,57,25348,370,7,1
clothes,poor,10367,99,20255,517,41,0
furniture,like_new,10999,76,23167,1768,212,0
furniture,acceptable,10969,78,20884,1160,46,1
clothes,acceptable,12623,53,3696,216,19,0
clothes,poor,10717,31,20292,907,54,0
kitchen_utensils,poor,13467,74,18912,300,48,1
furniture,acceptable,12051,24,27827,324,51,0
kitchen_utensils,acceptable,13127,3,15765,766,130,1
furniture,like_new,10825,91,26673,1423,142,0
kids,acceptable,10711,8,19300,210,21,0
other,like_new,13357,37,15905,269,5,1
furniture,good,10589,47,17557,301,54,0
clothes,poor,12524,92,26977,745,141,0
kitchen_utensils,good,13507,30,17803,1869,242,1
clothes,good,12109,26,5205,199,0,1
kids,good,10551,83,13110,1255,213,0
furniture,good,12109,11,8109,1590,222,0
other,like_new,10551,12,14484,470,18,1
furniture,acceptable,12307,62,26473,1999,99,0
kitchen_utensils,poor,10713,37,26784,1477,73,1
kitchen_utensils,good,10178,91,1076,1420,0,1
furniture,good,13469,19,2489,626,106,0
kids,good,10178,97,14755,1121,145,0
other,like_new,14059,89,9633,1669,317,0
kitchen_utensils,acceptable,12109,46,6617,1659,16,1
kids,like_new,10825,46,9828,340,13,0
kids,like_new,12355,2,19784,1324,39,0
other,acceptable,12526,91,9193,1338,147,1
furniture,poor,12437,92,17360,446,57,1
kitchen_utensils,good,12167,78,5592,1452,72,0
kids,acceptable,10999,46,31902,551,16,1
kids,like_new,13581,93,12243,118,22,0
clothes,good,13435,71,18735,1698,135,0
clothes,like_new,10589,71,25879,1472,73,1
other,poor,12163,96,7642,1273,0,1
clothes,good,10781,88,7853,1560,124,0
kitchen_utensils,poor,13467,87,12842,1295,220,0
kitchen_utensils,good,13505,98,18035,1949,233,0
kitchen_utensils,good,10625,16,29918,434,17,0
kids,acceptable,13437,9,26316,96,0,0
kids,acceptable,10551,94,11244,1490,208,0
other,poor,13467,54,11672,1481,118,1
other,like_new,13503,14,31658,521,41,1
clothes,poor,13353,29,22623,1085,21,0
other,acceptable,12487,24,28059,1145,80,0
kitchen_utensils,good,13505,88,13281,357,35,1
clothes,poor,10711,28,22143,1947,58,1
furniture,like_new,13597,51,3181,292,35,1
kids,good,10827,4,12742,1532,91,1
other,good,13465,47,31224,1965,255,1
kids,good,13509,44,11714,567,90,0
clothes,like_new,14197,39,13337,1513,15,0
furniture,like_new,10625,40,2959,658,125,0
furniture,poor,13156,10,1166,1195,227,0
furniture,like_new,10407,29,14631,140,14,1
furniture,like_new,14167,29,18254,473,89,1
kids,acceptable,10963,70,29733,779,148,1
kitchen_utensils,good,13359,71,20163,494,14,0
kitchen_utensils,acceptable,10559,64,27550,1565,266,0
other,good,13089,60,17651,1826,328,1
clothes,poor,10709,73,18946,1487,148,1
other,good,14199,27,12757,1346,242,1
kids,good,13505,95,11417,961,0,1
kids,like_new,13595,38,6757,1005,100,1
furniture,like_new,12683,71,29956,1956,273,0
kids,poor,14059,5,27829,1245,74,0
furniture,good,10785,13,14545,1486,44,0
furniture,like_new,10243,78,25481,991,138,1
furniture,good,12439,69,29947,523,0,0
furniture,good,12524,64,25817,603,66,1
clothes,poor,14109,65,20720,1528,0,0
furniture,poor,12305,94,15074,806,128,1
clothes,poor,13187,98,26900,991,99,0
other,acceptable,12059,45,25542,965,125,0
clothes,like_new,13125,60,18319,1237,49,1
kitchen_utensils,poor,13437,94,14387,775,31,0
other,poor,13357,10,27272,663,59,0
kitchen_utensils,like_new,10119,24,29280,1312,131,0
clothes,poor,13435,65,9187,1549,139,0
clothes,acceptable,12047,83,21052,377,37,1
furniture,like_new,10999,60,27134,1430,0,1
other,poor,10719,52,6042,104,3,0
other,acceptable,10829,60,9322,1801,342,1
kitchen_utensils,good,12689,9,25500,252,42,0
kitchen_utensils,good,12559,36,1290,999,119,0
kitchen_utensils,like_new,14089,72,28842,1439,43,1
other,poor,12049,45,5686,1538,246,0
furniture,poor,10179,39,30963,1203,84,0
other,good,13156,17,12912,272,10,1
kids,good,13597,31,11991,982,147,0
clothes,acceptable,13187,15,8448,1429,171,1
other,poor,10965,45,8202,1062,84,0
other,like_new,13435,18,15963,31,4,0
kids,poor,10827,60,13355,1524,198,0
furniture,poor,12555,54,29344,707,63,1
kids,good,10783,63,24853,1554,233,1
clothes,poor,13129,36,4385,1490,74,1
clothes,like_new,13403,68,22588,1302,195,0
kitchen_utensils,good,13086,84,1688,1506,0,0
furniture,poor,13505,78,6179,1486,208,1
kitchen_utensils,acceptable,13353,2,15148,767,46,0
kids,poor,13357,9,9412,1251,100,0
kitchen_utensils,acceptable,10439,61,23954,1022,163,0
kids,good,12351,61,2907,396,35,0
other,like_new,10777,37,26071,408,32,1
clothes,like_new,10709,55,20703,1461,87,0
furniture,good,12487,7,24781,1250,100,1
kids,acceptable,13055,89,26840,1880,282,1
clothes,good,10779,68,5858,550,82,1
kitchen_utensils,acceptable,10999,7,12677,1372,123,1
furniture,good,13439,81,12564,1214,133,0
furniture,like_new,13407,28,31218,1706,324,1
other,like_new,13088,25,14283,1725,34,0
kids,good,10623,76,12999,911,36,1
other,poor,10319,71,20258,1696,0,1
kids,acceptable,12105,66,11996,124,17,0
furniture,good,10315,54,22413,1616,113,1
kids,acceptable,10178,49,13937,19,0,0
other,acceptable,10405,45,28556,1055,73,1
kitchen_utensils,like_new,12589,63,13769,1876,18,0
clothes,poor,13053,54,21807,1275,63,0
kitchen_utensils,acceptable,10585,21,10734,289,5,1
other,acceptable,14109,97,13683,1283,192,1
furniture,poor,10119,85,27826,1966,0,0
kids,acceptable,10823,38,14504,863,94,1
other,like_new,12439,85,13251,433,12,0
other,good,10625,60,28383,1224,36,1
kitchen_utensils,like_new,10437,71,24303,867,43,0
clothes,good,14055,22,24588,892,0,1
furniture,good,13585,59,5399,1019,101,1
other,acceptable,10777,32,3469,1033,82,0
kitchen_utensils,poor,14193,66,2152,1098,175,1
other,good,12309,85,26820,802,88,1
furniture,like_new,13509,42,16434,1242,86,1
other,good,12355,98,2342,280,30,0
furniture,good,13359,31,15007,1118,212,1
kids,poor,10553,80,27219,150,25,0
kitchen_utensils,like_new,10823,18,6991,1184,130,1
kitchen_utensils,like_new,12621,93,24633,55,3,0
kids,acceptable,13086,85,9086,699,111,0
other,acceptable,13347,28,26987,1675,117,0
furniture,poor,13439,32,1484,1927,192,0
furniture,acceptable,13059,87,24959,1591,238,0
other,good,12209,6,12231,284,39,0
clothes,good,10967,62,27661,1190,11,1
kitchen_utensils,good,10555,14,31111,20,2,1
clothes,like_new,14059,46,16663,1285,218,0
kitchen_utensils,good,13593,30,18664,809,64,0
other,like_new,13125,56,25867,38,2,0
other,poor,10785,85,21470,200,2,0
kitchen_utensils,acceptable,12627,60,22040,770,77,0
kitchen_utensils,good,12105,51,25346,20,3,0
clothes,poor,12209,40,994,1241,235,0
kids,good,13591,61,11168,1667,66,1
other,like_new,10555,44,17385,1618,16,0
furniture,poor,10407,55,15982,381,53,1
furniture,good,13585,71,8288,428,72,1
furniture,poor,12279,25,8853,1012,101,0
clothes,good,10709,26,21478,716,121,1
kids,good,14195,87,20898,1221,158,1
kids,good,10367,80,19686,758,68,0
furniture,good,10969,77,9723,1559,0,1
furniture,good,14055,77,27790,1417,113,1
furniture,acceptable,10717,1,8948,1006,140,0
other,poor,10997,59,3702,1740,295,0
kids,acceptable,10961,79,11323,1286,192,1
clothes,good,13465,75,24388,982,9,1
furniture,like_new,12555,92,9013,913,36,1
kitchen_utensils,like_new,12055,89,5255,303,27,1
kids,like_new,10719,48,29109,686,75,0
furniture,good,13053,52,27979,955,171,0
other,poor,12689,90,30703,1743,226,1
other,acceptable,12357,0,11753,264,42,1
other,acceptable,10781,78,23684,1583,126,1
kitchen_utensils,good,10715,59,26678,839,41,0
kids,like_new,12279,98,7619,1995,379,1
kids,poor,13158,70,22499,1721,258,0
other,acceptable,12279,64,31677,1866,261,1
furniture,like_new,12621,42,16415,717,93,1
clothes,acceptable,12043,29,14378,234,14,0
furniture,poor,12159,3,31520,1666,83,1
kids,acceptable,10179,87,3506,1779,88,1
other,good,12059,63,19794,925,166,0
kitchen_utensils,good,10777,4,9282,1228,49,1
clothes,acceptable,14050,43,14178,1623,178,0
other,poor,12109,96,29728,286,34,1
furniture,acceptable,13593,53,11438,430,21,1
kitchen_utensils,good,10715,78,1028,1830,237,1
clothes,good,13581,70,8577,485,67,1
clothes,poor,12621,50,31842,1894,265,0
furniture,like_new,10713,46,7061,711,14,1
clothes,like_new,10785,99,12981,1485,59,1
kitchen_utensils,poor,12059,90,19868,1037,20,1
kids,poor,12099,31,18686,157,9,1
kids,like_new,10961,44,9903,1104,99,1
other,like_new,12047,11,13675,688,34,0
clothes,good,13405,59,6505,1631,163,0
other,poor,10717,2,24677,105,9,1
clothes,acceptable,10629,35,17237,726,36,1
furniture,acceptable,10245,89,23682,1440,273,1
kids,acceptable,13158,90,20877,1736,243,0
clothes,good,12103,7,5530,984,118,1
other,like_new,10997,70,4959,1494,74,1
kids,poor,13357,51,25344,1211,12,1
furniture,poor,12109,37,23044,1623,81,1
kitchen_utensils,like_new,12689,24,4811,426,72,0
clothes,acceptable,13187,11,22567,790,55,0
kids,like_new,12309,29,7815,151,24,0
clothes,acceptable,10789,90,16140,731,95,1
