item_category,item_condition,distance,item_available_timer,n_views,n_likes,item_available
1,2,14085,75,426,38,1
2,4,30913,33,1779,17,1
2,1,4837,1,1652,82,1
3,1,25739,70,1657,132,0
5,2,13777,79,1270,165,1
4,3,16474,34,614,24,0
4,2,3970,8,1104,99,0
3,3,2156,49,868,52,0
5,3,16809,50,947,94,0
2,4,28380,95,1999,279,1
2,2,22722,37,1447,101,0
2,3,13505,47,420,63,0
5,2,21735,13,1732,311,1
2,2,25694,77,902,72,0
2,3,13190,87,313,28,1
3,1,27782,96,202,8,0
5,3,2354,78,1304,195,1
2,4,21102,66,1487,223,1
4,4,14338,5,1897,37,1
1,4,27488,45,680,20,1
5,1,5802,45,1431,186,1
5,2,2942,88,607,12,0
2,3,8429,1,995,89,0
1,4,10864,72,1755,17,1
2,3,22581,66,1540,154,0
3,2,8921,87,271,32,1
3,3,17385,53,970,155,0
4,2,26188,8,1488,178,0
2,4,2451,75,1548,123,1
2,3,2023,50,321,38,1
1,4,30762,25,214,38,0
3,3,28058,67,1163,34,1
3,1,24239,39,723,93,1
5,2,8393,54,1561,124,1
5,2,9581,36,472,51,1
5,1,16395,52,1701,170,1
4,2,20050,29,868,138,0
4,2,7682,53,127,1,0
5,1,18043,29,1296,142,0
2,4,19097,93,182,18,0
3,2,18141,52,1442,100,1
4,3,26535,99,616,18,0
4,2,17722,79,407,0,1
4,2,7800,47,1909,114,0
1,1,17191,63,1743,244,0
5,3,14996,48,1268,63,0
5,2,11908,59,1026,71,1
4,3,7569,20,1735,225,1
2,2,1589,26,1791,232,0
5,2,29568,63,1126,67,1
3,3,21494,30,1415,183,0
2,2,6292,98,276,8,0
4,3,1068,25,1690,67,1
4,1,31423,88,135,4,0
3,1,11225,91,1374,109,1
3,1,18456,94,261,36,0
1,4,16,19,504,40,1
2,1,24709,2,1763,35,1
3,1,15110,50,1908,343,0
5,3,25893,8,984,39,1
5,1,14689,59,888,0,1
3,3,13465,34,1807,198,0
5,1,24274,38,724,72,0
1,3,18459,23,861,103,0
5,3,19105,4,1879,225,1
2,2,7190,28,333,63,0
4,1,1603,94,430,47,0
2,2,2080,30,108,11,0
5,2,8471,25,1831,219,0
2,3,29908,5,1513,287,1
4,1,14079,26,1893,359,0
4,1,22494,93,1284,128,0
4,1,7068,73,1042,177,0
1,3,12123,80,17,0,0
5,2,9194,67,225,9,1
5,4,16622,63,336,63,0
5,4,24497,52,232,34,0
3,1,2359,4,824,131,0
4,4,28766,15,285,28,1
5,3,18508,89,671,20,0
5,2,7381,20,728,50,0
2,3,16938,66,1993,338,0
4,2,26075,90,977,29,1
1,1,27513,6,257,10,0
1,1,15821,72,1681,252,0
2,2,16198,11,1172,210,0
5,2,12906,17,908,81,0
1,1,2489,53,887,70,0
2,1,9330,38,1113,122,1
4,2,30774,90,1717,51,1
4,1,29751,60,143,10,1
2,2,19752,10,1409,42,0
4,1,31811,50,1834,128,0
5,2,19766,62,686,54,1
5,4,10908,6,1434,186,0
4,2,28611,53,881,158,0
4,2,31058,36,1220,146,0
4,4,29974,92,573,22,0
5,2,12060,31,70,12,0
5,1,23849,3,1391,153,0
3,2,21793,68,1853,352,1
1,3,4953,99,609,42,1
4,2,4281,89,520,72,0
2,1,21272,33,1852,222,1
2,4,3760,66,387,30,1
5,3,10150,77,1174,105,0
3,3,31105,65,1852,296,1
1,4,946,32,697,0,0
2,2,28030,28,727,29,0
5,1,14634,43,470,18,1
5,2,5531,62,1801,270,1
3,4,17742,84,454,4,0
4,1,21820,61,1318,0,1
2,2,30748,57,704,14,0
1,3,1792,70,1386,124,1
5,1,31024,5,1640,196,1
2,1,3641,54,730,73,1
3,4,18833,81,458,41,1
4,3,23863,1,1324,145,1
5,1,10759,35,1683,16,1
4,4,21213,83,791,71,0
3,3,23299,15,932,65,1
4,4,3274,40,1523,289,1
2,4,3976,17,757,7,1
4,1,9595,82,1056,10,1
2,3,19510,20,534,69,1
3,4,5297,6,528,10,0
3,1,11688,13,835,150,1
2,2,7011,29,60,9,0
5,3,16033,72,251,0,0
1,4,29971,59,1731,86,0
1,3,17645,62,1362,122,0
2,3,20747,39,836,41,0
3,2,9130,73,1053,157,1
3,2,9524,50,1683,67,1
3,3,30854,11,330,42,1
5,4,24757,92,954,38,0
5,1,734,64,570,108,0
5,1,31951,50,446,62,1
4,3,9076,46,1869,336,1
2,2,9033,34,526,89,1
1,1,18460,25,297,47,0
2,2,22909,43,1680,218,1
3,1,11468,10,431,34,1
5,4,25847,85,63,0,1
1,3,11738,63,1808,289,0
2,3,5219,82,37,4,0
5,4,3160,28,1496,59,1
4,3,11440,74,839,100,0
4,2,4649,11,1283,38,1
2,2,26704,86,824,123,1
4,2,13813,85,192,34,1
4,2,13452,74,229,16,1
3,3,18494,43,386,0,1
5,2,13886,54,1275,76,1
1,3,12840,29,1800,234,1
5,3,22082,73,749,74,1
4,1,22139,79,786,110,1
2,4,7126,67,534,64,1
3,1,30775,65,1088,195,0
3,2,14817,21,1052,168,1
4,4,21946,35,1953,253,1
2,4,19454,8,172,30,1
4,1,13032,11,756,113,0
2,3,24846,39,510,20,1
5,2,31307,57,327,49,0
5,4,24391,97,535,32,0
4,2,9677,29,62,8,1
4,2,27240,70,818,139,1
2,4,31828,6,633,69,1
1,1,23880,19,1395,97,0
1,4,8617,84,750,97,0
2,3,30569,91,1680,235,0
3,2,30363,81,750,97,0
3,2,11210,57,1143,45,1
1,1,6666,22,820,41,0
2,1,28304,55,896,116,1
4,1,7531,37,1810,72,1
2,2,22378,29,48,7,0
1,1,29506,87,450,4,0
2,2,22285,68,776,131,1
3,4,9840,88,1393,167,1
1,3,29170,56,772,138,1
2,4,2765,77,561,33,0
4,1,15009,9,762,137,1
4,4,27693,39,1662,282,1
3,1,12254,8,808,72,0
3,4,12813,1,1593,175,1
5,3,7970,83,345,24,1
4,4,19561,53,1803,216,1
2,3,11090,5,1910,38,0
1,1,17890,53,1748,0,0
1,3,20394,89,1996,359,1
3,3,22755,74,16,0,1
3,1,6346,3,1683,151,1
2,2,16232,47,1025,184,0
2,4,11281,16,460,64,1
1,1,1105,20,1173,140,1
5,1,13080,68,1446,72,1
1,1,28226,65,1717,291,1
1,3,28290,72,1844,313,1
2,4,17361,14,1848,277,1
3,2,31907,6,1140,22,1
2,4,16712,20,1542,15,1
2,3,7594,59,306,30,0
1,1,30574,22,1881,225,0
4,2,28133,32,361,46,1
3,3,22182,54,1752,210,1
4,3,17975,57,1125,168,1
1,4,18532,49,1618,242,0
5,1,23704,47,1789,0,0
3,4,25175,89,1689,84,1
1,2,3550,19,543,43,0
5,4,10347,0,349,6,0
5,1,20301,20,1128,191,0
5,2,8372,51,427,76,0
2,4,1701,71,1316,144,1
1,3,15720,48,1361,204,0
2,4,787,33,826,148,1
2,3,23583,15,1628,244,0
2,4,27974,91,210,35,1
4,3,21179,14,1864,149,1
1,4,22027,73,881,79,1
2,2,25613,13,64,3,1
1,4,28181,56,1994,279,0
4,1,13591,91,1111,133,1
5,3,465,8,1324,172,1
2,1,26186,95,355,17,0
5,2,30859,49,1088,32,1
5,3,15671,54,1300,78,1
5,1,10076,15,728,7,0
5,4,9977,93,1982,0,0
5,4,1154,9,178,33,1
3,3,18353,56,1259,201,0
5,3,10607,97,1685,303,1
4,1,30208,49,663,79,1
3,3,5916,82,1858,334,1
4,2,21373,42,1429,71,0
3,4,10352,20,1413,169,0
2,4,20772,81,705,28,1
2,3,1338,60,1660,83,1
5,1,10117,44,1893,227,1
1,4,13656,44,214,34,1
5,1,31435,14,996,0,1
5,2,29825,28,262,31,1
4,1,1099,83,973,107,0
1,3,23116,1,1601,16,1
3,1,11706,20,151,15,0
1,2,9712,25,1095,186,1
1,4,27000,47,1286,115,1
5,3,28530,76,131,15,1
3,4,9177,75,1150,34,0
3,2,21373,12,1072,85,0
5,2,18583,98,185,29,1
4,4,13557,79,129,15,1
3,1,1807,24,1887,358,1
3,3,1514,13,502,15,0
3,2,12459,93,1149,149,1
1,3,4190,78,249,27,0
4,4,16097,42,557,11,0
3,1,3440,45,1459,116,0
5,3,1781,11,1646,131,1
3,3,12217,75,255,25,0
1,3,10055,81,724,7,1
5,2,21740,44,1599,175,0
1,1,29544,30,792,150,0
4,1,23131,57,138,17,0
5,2,18042,25,93,13,0
3,4,30154,59,1219,97,0
4,3,1932,81,1887,207,0
5,4,3251,93,318,9,0
5,3,31805,0,1156,11,1
1,3,3311,98,1682,252,0
2,3,31530,41,1315,0,1
2,4,29123,50,610,42,0
5,4,22446,39,1222,36,0
1,3,25947,34,1996,219,1
5,2,12693,29,1974,19,1
2,3,19922,53,1578,142,0
3,2,26400,19,1640,98,1
4,2,4364,42,222,31,1
5,2,25293,96,92,4,0
3,2,8855,67,649,110,0
1,3,20271,51,288,23,0
1,3,9477,26,231,18,0
5,1,23496,70,1921,288,0
1,2,18820,92,582,104,1
2,2,27388,36,1492,253,1
4,3,2011,38,560,22,1
5,3,3798,4,479,9,1
1,1,27138,75,1485,133,1
5,3,6142,39,18,0,1
1,1,9744,47,1972,315,1
1,4,29451,12,1807,216,1
4,2,18244,0,1205,204,1
3,3,8971,42,682,95,1
3,1,22590,72,1785,35,1
5,3,10902,58,1608,273,0
2,3,29831,56,908,9,0
1,2,8938,95,820,65,1
3,2,3077,24,431,77,1
1,1,20767,32,1423,113,0
3,1,729,13,1718,326,0
2,3,24371,37,612,36,0
5,2,28192,72,1831,146,1
5,2,9334,45,843,118,1
1,2,29159,37,690,34,0
4,2,20977,26,1216,194,0
5,3,29926,38,409,53,0
3,2,14362,78,1790,304,0
1,3,12200,2,1075,182,0
3,1,5937,80,1070,74,1
2,1,18675,1,811,81,0
5,4,11842,90,876,70,0
4,2,8747,61,695,48,1
5,4,4194,63,1400,84,1
4,2,29112,44,1656,82,0
5,1,15623,90,1986,278,1
2,1,10127,53,704,126,1
1,4,28183,26,1365,191,0
4,3,18027,42,283,25,0
1,4,21674,99,133,14,1
5,1,5699,83,1505,150,1
5,1,18564,74,982,68,1
2,4,19948,33,965,144,1
2,4,30118,97,102,9,0
4,2,20584,7,1757,245,0
2,3,27805,68,648,90,0
4,3,12600,34,504,40,0
4,4,13912,88,1268,63,0
5,3,14074,16,1645,49,1
5,3,12439,62,1878,300,1
1,2,8806,64,1162,151,0
2,1,24062,37,1444,231,0
2,1,1571,33,1489,29,0
5,3,7626,66,117,4,0
4,4,21430,51,1477,29,1
1,4,12559,49,252,45,1
5,1,29620,35,1073,42,0
1,1,7272,26,86,6,0
2,1,21447,70,594,47,1
2,1,1220,5,0,0,1
5,1,5359,29,874,17,0
1,1,25780,49,1827,109,1
4,1,7841,89,1061,148,0
3,3,21045,81,572,51,0
4,3,8653,22,1977,217,0
5,3,25786,95,1184,189,0
2,3,27218,29,1031,195,0
3,1,13950,92,1102,165,1
5,4,20358,32,1952,0,0
2,3,22201,3,508,91,0
5,2,22935,98,1509,60,1
5,3,28531,8,1924,230,1
2,4,15396,86,638,31,1
2,4,30084,4,969,38,0
4,3,30416,55,1796,305,1
4,2,22472,0,878,149,1
2,4,15101,34,1755,193,1
5,3,3489,52,1113,89,0
2,1,13380,18,257,20,1
3,3,30985,15,1249,62,1
3,3,11898,82,1430,57,1
3,1,13941,29,1306,117,1
2,2,26063,75,36,0,1
4,2,25963,82,120,8,0
2,3,19215,72,1078,118,0
5,2,17898,34,1248,74,0
5,1,20860,15,182,3,0
1,3,23812,48,1643,295,1
4,1,12177,84,1801,144,0
5,3,8111,98,24,4,1
5,4,16975,25,711,0,1
1,3,14973,30,1301,169,1
2,4,29223,92,1198,95,0
5,2,3910,29,1395,223,1
1,3,9073,41,1098,186,1
1,2,12175,81,1692,84,1
4,2,22580,96,698,48,0
1,4,2526,44,172,18,0
1,1,12703,80,1783,0,0
4,3,31832,48,727,109,1
4,4,9571,79,1050,147,1
1,4,22691,62,258,25,1
1,4,29749,63,1460,277,1
4,1,29814,54,163,0,0
1,4,17910,71,736,0,1
4,3,4052,29,64,8,1
4,1,11292,70,965,144,0
1,3,17731,90,1473,88,1
5,1,14314,69,1640,32,1
1,2,18380,57,429,51,0
2,2,16775,83,993,139,0
4,3,25944,71,1614,242,0
4,3,29216,1,1941,97,1
2,4,19106,64,1777,177,0
4,4,22533,71,377,18,0
2,1,15793,17,1223,110,1
4,4,20950,2,88,3,0
3,3,31452,69,1851,55,0
4,1,9677,81,1104,198,0
5,2,26127,80,334,16,1
1,2,4132,34,119,20,0
5,2,7421,64,1248,174,0
3,4,9778,49,1132,135,0
2,4,28178,48,754,0,1
3,2,30082,5,1002,120,0
5,4,13832,96,132,5,1
3,4,13752,37,1319,92,0
4,2,17538,35,5,0,1
1,2,20605,73,1249,237,0
4,1,15056,32,1261,176,1
5,1,18033,79,185,20,0
3,4,15019,3,804,56,1
5,4,29499,39,871,34,0
2,2,23308,72,1719,51,0
5,2,8579,97,511,81,0
2,4,26353,83,120,21,0
2,1,23819,85,16,1,1
2,1,21583,43,827,107,1
1,4,30256,23,40,4,0
4,1,31267,15,1511,45,1
1,3,12186,38,1905,114,1
5,4,16880,5,56,3,1
5,1,1525,64,1801,198,0
1,2,3676,80,1623,81,0
4,1,29876,21,1526,289,0
5,3,5249,13,10,1,0
5,3,9484,76,409,20,0
2,4,24123,90,571,57,1
5,4,15467,21,29,3,1
4,3,1685,32,262,44,0
2,1,617,39,1456,131,1
1,1,14199,39,1698,152,0
3,3,12504,24,525,78,0
1,2,29517,1,756,15,1
2,3,4236,61,1674,133,1
4,2,1246,46,596,35,0
3,4,13930,51,1366,218,0
2,3,19039,12,936,0,0
4,3,21993,49,426,46,0
1,1,5240,62,1733,225,0
1,3,23972,48,117,12,1
1,3,8479,67,292,11,0
3,1,17530,64,180,3,0
2,4,3401,43,986,138,1
3,3,111,38,1819,345,0
2,1,28681,33,754,90,0
1,3,27829,63,70,7,1
3,3,5439,86,33,5,0
5,3,26936,3,1263,189,0
1,4,6635,58,1911,76,1
4,3,12039,88,625,31,1
5,1,25454,67,773,131,1
1,1,1421,3,1723,0,0
2,1,2111,25,789,78,0
3,4,12857,74,213,21,0
3,2,6795,40,879,8,0
4,2,17194,13,1743,17,1
1,3,27573,59,477,47,1
3,1,9115,21,1609,289,0
5,3,31661,79,1907,57,0
3,1,21148,80,265,47,0
5,1,14663,1,1208,169,1
3,1,10576,88,1608,257,1
2,3,18883,29,1707,307,1
3,4,2471,78,667,120,1
2,2,892,40,44,2,0
4,2,30732,81,669,93,0
4,1,21310,63,158,30,1
3,4,666,81,1124,89,1
4,4,4120,65,337,33,1
3,4,8133,72,1694,118,0
4,1,4039,70,1406,140,1
1,3,27198,94,1027,133,1
3,4,13355,57,1578,299,1
5,3,26902,17,768,53,0
1,1,30911,95,980,29,1
5,1,6128,88,237,28,1
3,3,15780,86,1259,25,0
3,3,19237,20,1959,333,1
2,2,9352,59,317,38,1
2,3,22395,59,103,12,0
5,1,27122,56,441,30,0
1,2,27111,91,405,12,0
2,4,950,94,1585,190,0
1,3,28182,9,70,12,0
5,1,30215,8,980,9,0
1,2,6898,99,1929,347,1
1,2,23949,21,466,0,0
5,1,31114,75,721,50,1
2,1,2904,42,1316,210,1
1,1,15329,77,1670,200,1
2,2,22136,88,69,1,1
3,4,2271,9,1093,43,0
5,2,31038,47,1143,114,0
2,1,16523,62,1472,279,0
2,2,17121,76,834,33,0
2,1,5554,27,822,49,1
2,3,9255,96,282,0,0
4,3,20853,59,1457,218,0
3,4,16827,70,673,26,0
4,2,1362,11,1919,345,0
4,1,25084,12,63,9,1
5,4,17248,1,520,72,0
4,3,15031,48,318,22,1
1,3,8975,26,1494,194,1
2,4,8538,61,1959,215,1
3,3,27900,78,1168,58,0
3,2,14948,61,1585,206,0
1,4,9670,55,1364,54,1
1,3,23999,78,203,34,1
4,4,17515,1,687,103,0
2,1,14831,20,749,22,1
5,4,28406,5,439,43,0
4,1,29933,77,249,4,0
2,2,1305,51,136,10,0
2,1,19640,32,1114,22,0
4,3,20723,56,770,15,0
2,4,16145,18,1825,292,0
4,2,16932,71,512,71,0
1,1,28135,95,1519,273,1
1,1,9483,90,996,189,0
2,1,7346,57,1958,117,1
5,2,21793,94,317,28,0
3,2,27293,17,1591,270,1
4,2,23197,57,475,14,0
1,4,25953,18,1148,22,1
3,1,25773,35,1920,19,0
3,3,22973,17,452,58,0
3,3,11706,85,424,25,1
3,2,27272,49,878,79,1
1,2,25982,4,417,29,1
4,2,16551,97,1781,178,1
4,4,12971,21,992,109,1
2,1,23611,48,956,124,1
3,4,24924,65,865,43,1
5,4,23949,10,263,42,1
1,1,8011,62,1194,191,1
3,2,28719,60,1098,10,0
2,3,21062,42,1282,51,0
5,4,12525,79,439,39,0
3,4,20595,24,1925,173,0
2,3,14931,15,938,159,1
1,1,1228,51,44,3,0
5,4,17354,98,12,1,0
1,3,1875,16,245,9,1
4,1,5456,27,998,189,1
5,2,17947,23,1112,100,0
2,4,16457,59,767,138,1
2,2,27427,60,1055,94,1
2,4,24892,91,421,12,1
4,2,4840,8,209,4,1
3,1,4281,88,276,2,1
5,4,3107,2,1218,146,0
2,2,8974,93,722,129,1
2,1,7924,38,1240,210,1
4,2,12070,32,1427,0,1
3,1,8683,40,556,55,0
5,4,30896,50,186,1,1
5,3,8537,35,11,1,1
2,3,5534,66,1184,189,0
5,1,25344,59,1431,200,0
2,3,21792,9,455,72,0
4,3,4685,59,1110,166,0
5,3,7611,64,1005,60,0
5,1,26207,4,821,90,0
3,1,30614,20,1878,187,0
1,1,23416,25,196,13,0
3,3,6554,14,1582,0,1
5,4,11736,73,958,38,1
5,2,23960,26,755,143,0
4,3,23047,60,1414,56,0
2,4,27100,25,1385,207,1
5,2,20089,11,1519,30,1
2,1,7292,62,326,26,1
4,3,15740,59,1114,155,1
3,1,9158,80,653,6,0
1,2,25398,75,103,12,1
4,1,16542,29,103,2,1
5,3,15494,78,1882,94,0
5,3,14617,70,1855,278,0
2,1,28524,9,155,0,0
3,4,134,73,1295,220,0
1,4,20702,59,156,3,1
5,4,16482,27,1586,47,1
3,4,20156,84,1314,0,1
3,1,20652,8,511,0,1
2,3,4453,98,609,109,0
5,3,9562,84,460,36,1
2,1,20786,67,1791,35,0
3,2,6299,75,1805,324,0
4,3,5309,13,229,34,1
1,3,1810,55,1422,127,1
1,4,15505,8,1158,220,0
3,3,2574,89,1653,264,0
5,4,13099,40,1286,167,0
4,3,16151,57,283,25,0
5,2,16592,90,1966,78,1
4,3,15768,99,933,102,1
2,2,9052,40,610,18,1
4,4,5624,91,1611,193,1
2,1,17596,88,1450,43,0
4,3,25137,34,1633,212,1
5,2,25603,16,468,74,1
5,3,13557,8,1378,206,0
4,4,30051,3,1709,51,0
3,2,5893,4,1059,84,1
2,3,675,36,1555,248,1
4,1,11346,24,6,1,1
1,3,27898,27,1997,99,1
4,4,7474,11,1886,18,1
1,1,7780,20,637,101,1
4,3,31203,31,1341,53,1
1,1,11139,68,1719,189,0
4,2,24448,71,1377,234,1
5,1,22658,14,1488,14,0
5,1,2274,52,1333,213,1
3,1,6110,60,1110,55,1
5,1,27748,95,1366,259,0
4,2,26161,12,348,34,0
2,4,23872,83,361,61,0
2,2,12031,54,1129,146,0
4,2,27432,66,32,5,1
4,1,5866,25,1167,81,1
3,4,5056,48,90,15,0
2,3,10872,1,1055,0,1
1,3,2822,7,1451,188,0
1,1,7810,55,391,54,1
3,4,4109,16,1497,254,1
2,2,21666,23,177,12,0
4,4,5745,56,214,19,1
1,3,12732,26,346,6,1
2,3,28915,94,1629,162,0
3,3,29179,92,1435,258,1
3,3,25932,1,1386,221,1
2,4,20649,47,937,65,1
3,1,4534,88,369,14,0
3,1,22478,58,49,5,1
4,4,9412,48,321,22,0
5,2,12832,11,1886,18,1
2,1,15401,70,1822,236,1
4,4,4045,80,866,155,0
3,1,26882,15,812,64,0
1,1,25555,82,756,30,0
4,3,13886,45,681,81,0
2,3,20077,80,1717,103,1
1,1,13905,47,544,92,0
2,1,19821,91,809,40,1
5,4,8959,33,438,13,1
1,4,25297,71,615,12,1
3,3,7357,99,857,145,1
2,2,29412,50,1289,244,0
3,2,481,71,656,65,1
2,4,17739,83,210,16,0
4,1,22818,71,499,44,1
5,2,7083,34,494,9,0
3,3,2895,98,257,17,1
4,1,2200,31,1112,166,0
1,1,29540,20,1372,150,0
5,4,29346,85,1534,168,0
4,1,24882,60,146,7,0
5,1,5714,37,1021,183,0
3,4,24932,45,1845,295,0
5,2,20512,69,633,18,0
5,4,15208,33,956,47,0
2,3,18153,5,1009,0,1
1,4,8052,55,1872,56,0
1,1,10012,29,700,133,0
4,4,20740,21,506,45,1
5,3,10500,94,80,8,1
5,3,3367,39,1185,23,0
4,4,1035,11,219,24,1
2,4,18857,4,19,3,0
3,3,9284,56,883,132,1
2,2,4621,18,1529,122,0
4,1,12294,54,270,43,0
5,1,3304,65,188,16,0
2,4,31672,81,1435,272,0
1,3,19096,68,1755,263,1
4,3,17265,55,547,27,1
3,1,15855,27,112,1,1
4,2,11365,18,1417,42,1
2,1,25532,72,1413,0,1
2,3,1259,34,1339,26,1
2,3,17338,73,802,8,1
4,4,442,42,1660,199,1
3,2,16087,73,496,39,1
1,3,22862,6,503,65,1
3,4,4930,8,1872,224,0
4,4,31241,54,864,146,0
1,1,23140,66,360,61,1
3,3,17164,51,287,34,0
2,3,19658,48,240,21,1
5,4,12718,43,524,5,0
3,1,25274,78,1831,36,1
2,4,20999,10,1198,119,0
5,4,28925,70,1449,86,0
4,2,25959,5,477,4,1
2,4,24323,8,1583,253,1
4,1,8188,46,1557,46,1
1,4,1812,35,295,47,0
2,1,13295,83,96,12,1
2,1,16846,17,943,113,1
3,1,21951,82,1551,15,1
4,3,26115,67,1575,189,1
2,3,12356,11,679,27,0
3,4,31072,52,1719,326,0
3,3,10779,52,1743,278,0
4,2,6691,21,1167,140,1
3,4,21528,11,58,6,0
2,4,1073,54,633,12,0
4,1,19527,87,1253,50,1
5,2,31760,32,586,23,1
3,1,26078,46,971,38,0
1,3,16494,20,615,55,1
5,4,3706,28,1973,19,0
5,1,30215,63,1101,66,1
2,4,24661,72,1740,226,0
2,3,13632,20,36,3,1
2,2,17072,10,1603,304,1
4,1,31066,89,431,34,1
3,1,14838,4,1426,14,0
5,3,16950,29,676,60,1
2,4,3474,63,655,78,0
4,1,4081,28,499,59,0
4,1,22759,14,201,36,0
4,3,22703,4,1012,121,0
3,3,7441,54,239,28,1
4,1,20748,66,72,3,1
5,2,17546,84,1608,16,1
1,4,15325,13,14,1,0
5,3,3305,84,770,84,1
5,3,5643,71,128,19,0
3,2,19406,1,1337,80,1
2,3,4822,4,1827,164,0
3,1,15378,6,1376,165,0
3,4,4624,42,941,112,0
2,3,18769,37,1596,47,1
4,3,6579,15,901,171,1
4,2,19285,20,836,142,0
4,1,30592,9,1539,215,0
4,1,15390,81,86,9,0
3,1,14390,33,1163,11,0
3,2,20862,11,1045,156,0
1,3,18093,55,538,10,0
4,4,18858,45,334,13,0
2,1,4831,17,1686,0,0
5,3,5149,21,258,49,0
2,2,11450,97,960,9,1
5,1,12322,97,1075,150,1
2,3,1031,65,935,130,0
2,1,28163,33,1976,118,0
5,4,4373,14,911,81,1
5,1,6934,89,360,39,0
2,4,7642,32,1298,181,0
4,1,26047,47,1333,53,1
1,4,11175,97,974,185,0
1,3,17967,36,1880,169,1
3,1,14150,0,872,69,1
4,1,19636,42,689,34,0
5,3,14924,59,1067,181,1
4,2,7628,5,453,0,0
5,1,11560,92,495,9,0
1,1,27628,93,728,50,1
3,2,12578,17,260,49,1
4,1,24425,36,1403,56,0
5,3,29685,33,1514,30,0
5,1,30859,25,232,23,1
4,1,14403,69,1162,0,0
5,3,17089,45,1545,293,0
4,3,20,61,407,77,0
2,4,2191,0,1595,111,1
4,1,13237,52,1576,267,1
2,1,20990,15,172,20,0
4,2,15061,96,928,74,0
4,3,24812,90,323,3,0
3,2,14832,2,1800,126,0
4,3,20350,76,1246,112,1
1,3,15962,50,100,19,0
3,2,2164,74,1364,68,1
1,4,30487,91,399,27,0
1,2,23673,53,1004,40,1
4,1,10695,11,1385,124,0
2,4,18768,74,453,0,1
4,4,19303,20,1803,36,1
5,2,26043,51,1464,73,1
4,3,2216,63,1276,63,1
4,3,25536,37,1196,143,0
3,2,824,73,1476,191,0
5,1,4623,96,1001,130,1
2,1,13937,89,251,40,1
4,4,9123,73,1550,0,1
2,1,9180,26,1028,164,1
1,1,23908,84,1551,170,0
1,1,1676,18,1327,92,1
4,4,3860,4,684,116,1
4,1,18709,0,126,21,1
1,2,21589,75,1343,147,1
3,4,17282,56,1099,0,1
4,2,8870,51,1077,96,0
5,1,19514,77,142,1,0
2,3,10075,14,1493,14,1
1,1,27319,95,632,44,1
5,4,11207,11,1161,58,0
3,3,19067,76,814,122,0
5,2,15253,35,14,1,1
2,1,20420,40,400,0,1
5,2,8487,4,506,0,1
4,4,9876,47,996,59,1
5,3,27054,69,1363,54,0
4,1,10966,82,576,69,0
2,1,16570,81,440,79,0
2,1,30243,34,933,121,1
5,3,16073,91,836,100,0
2,3,28329,26,1886,358,1
5,2,26628,94,1528,106,1
5,3,21410,36,1650,165,1
4,2,20295,34,1123,0,0
3,4,764,12,1472,103,0
1,4,6276,18,1311,222,1
3,1,30029,5,1867,37,1
5,1,1329,43,1973,217,1
1,3,21447,87,1048,52,0
3,4,29150,60,205,18,0
2,2,2903,22,1180,35,1
4,2,12390,92,1923,76,0
5,4,11499,38,1511,211,1
3,3,18179,37,1109,121,1
4,3,18306,86,916,164,1
4,2,8513,20,1151,161,0
5,3,5556,86,830,157,0
5,3,6376,72,496,89,0
5,1,29793,68,1354,108,1
3,3,12489,17,1581,63,0
4,3,15506,31,417,70,0
3,1,19239,76,1694,271,0
5,3,25019,12,1783,53,0
3,1,23574,31,315,0,0
2,1,23859,94,1828,164,0
2,4,18648,89,363,61,1
2,4,9424,32,1683,201,1
5,4,6388,25,321,16,0
1,3,25143,42,608,79,1
3,4,5508,26,1815,0,1
5,3,15219,88,1575,47,1
2,1,16370,48,138,20,1
5,1,6942,87,1411,42,1
1,4,27718,15,828,149,1
2,2,327,39,47,0,0
1,1,10567,76,1057,63,1
1,1,13035,64,1332,226,0
3,1,28454,14,358,3,1
5,3,5805,29,356,21,0
3,3,18535,76,773,92,0
4,1,31567,3,1244,161,1
5,1,16676,75,375,0,1
3,2,11246,78,1728,120,0
5,2,4008,95,1382,110,1
3,2,14956,54,1308,156,0
2,2,21717,97,717,14,1
5,4,11587,60,750,0,1
2,4,8077,51,1400,42,0
3,3,22034,87,765,0,1
2,3,4424,45,5,0,1
1,4,31197,78,29,3,0
1,1,3985,28,1844,147,1
5,3,2842,31,313,59,1
3,1,6193,7,1004,120,0
4,3,10865,41,965,9,0
1,2,11910,58,1520,152,0
2,4,14091,91,139,8,0
5,3,5051,9,1901,0,1
4,1,9477,14,352,24,0
1,2,28385,37,1660,182,0
1,4,28118,80,1528,259,1
4,4,10975,11,1403,238,1
3,1,6937,30,1711,307,0
1,3,13498,86,1780,71,0
4,2,29327,60,1600,224,0
2,3,25074,47,25,2,0
5,1,15903,86,418,41,0
1,4,7140,14,462,36,1
3,1,11268,48,622,55,1
2,4,18999,46,1428,214,0
3,3,25519,33,267,26,0
2,1,12561,51,1847,203,1
2,1,1894,78,1113,100,1
1,4,28923,57,1041,93,0
2,1,28465,43,1173,164,0
1,2,13328,31,389,42,0
3,1,12996,56,927,64,1
4,2,11498,69,867,8,1
1,1,5393,91,673,74,1
2,1,24454,54,102,7,1
4,2,27846,18,1748,52,0
2,3,8646,29,1679,184,0
1,1,5322,33,1953,58,1
2,1,1632,5,1615,258,1
4,4,4961,83,1941,58,0
3,3,8325,34,1434,172,0
3,3,15613,18,1446,231,0
